model,review,make,extracted
MCLAREN 600LT,"McLaren expanded its LT family with the high-performance McLaren 600 LT, a faster version of the entry level McLaren 570s. The “LT” nameplate actually meant “Long tail” and was inspired by the McLaren F1 Long Tail. The most performant McLaren’s car at the time, the McLaren 600LT was lighter by 96 kg and got 30 extra ponies under the hood compared to the 570s, having a total of 592 hp given by the powerful 3.8-liter twin-turbocharged V8 engine. The power was sent to the rear wheels through a 7-speed dual-clutch transmission. McLaren has paid tremendous attention to details when building the 600LT and even started with the key fob, which had an unusual shape and an innovative trunk opener button. Instead of looking to see which the button was dedicated to open the trunk, drivers just needed to put their finger on the front key surface and feel two little bumps. Design wise, the little bumps were actually the wheels of a drawn car. From the outside, the 600LT’s doors drew immediate attention, looking more like two levels of doors with the air intake between them. The scissor doors had hidden door “handles” under the top layer of the door. From the inside, the electric doors would open by the press of a push-up door handle. Just in case the car’s battery would had been drained, the 600LT was equipped with a manual door release system as well. Inside, the cabin was fitted with grippy carbon fiber bucket seats that were manually adjustable. No power seats were available, as the main focus was on weight saving. And also related to weight saving was the rather “unfinished” bare carbon fiber floor under the car’s floor mats. Storage spaces were limited, however, McLaren did some tricks to still offer room for a phone or a coffee. There was a cupholder placed underneath the dashboard, a storage net between the backrests and one at the passenger’s feet. Moving to the center console, the McLaren 600LT did not feature a classical gear lever, but buttons to select the gear. From the center console the driver could select the preferred driving mode, switching between N, S and T, Normal, Sport and Track. With Track driving mode selected, the cluster gauge’s design changed into a track-oriented one.",MCLAREN,"```json{  ""car-model"": ""McLaren 600LT"",  ""year"": """",  ""size"": ""lighter, smaller"",  ""overall-design"": [""aggressive"", ""aerodynamic"", ""sporty""],  ""design-elements"": {    ""windshield"": [],    ""grille"": [],    ""hood"": [""long"", ""sleek""],    ""headlights"": [],    ""bumper"": [],    ""wheel"": [""lightweight""],    ""doors"": [""scissor"", ""hidden handles""],    ""roof"": [],    ""diffusor"": [],    ""spoiler"": [],    ""exhaust"": [""powerful""]  }}```"
MCLAREN 540C,"Every carmaker has one lowest-priced vehicle, and McLaren had the 540C in 2015 as the entry-level supercar, even though it's hard to call a supercar an entry-level vehicle. McLaren tried to get more customers from other brands who created more affordable alternatives to the British manufacturer's 570S and introduced the lower-spec version of that supercar in the form of the 540C. Even if it sported a six-figure price tag, it was still more affordable. The 540 Coupe was built on top of a carbon-fiber MonoCell II chassis adapted for day-to-day driving usability. As a result, its look resembled its bigger brother, the 570S but lost some of the aerodynamic elements that made the S a fierce track competitor. Thus, the Coupe lost the blades under the front bumper, redesigned for a less-aggressive look. Still, the lower part featured wide air intakes needed to cool the brakes and the radiators placed upfront. Moreover, the side sills were less profiled and not so low to the ground, so the driver shouldn't be worried about speed bumps. Yet, the mid-engined supercar kept similar black side air-intakes for the engine, and there was no wing at the back. Yet, the rear bumper showcased a big diffuser that also hosted the two exhausts on the outer sides. Inside, the carmaker extensively used the leather on the seats, door cards, and lower door areas. In addition, a 7"" IRIS touchscreen infotainment found its place on the center stack. Moreover, it incorporated the HVAC control unit. As expected, the sports seats wore high-bolstered areas. Behind the cabin, the carmaker placed a twin-turbocharged 3.8-liter V8 engine that provided enough oomph to the rear wheels to rocket the car from naught to 62 mph (0-100 kph) in 3.5 seconds.",MCLAREN,"```json{  ""car-model"": ""McLaren 540C"",  ""year"": ""2015"",  ""size"": ""mid-sized"",  ""overall-design"": [""sleek"", ""sporty"", ""luxurious""],  ""design-elements"": {    ""windshield"": [""aerodynamic""],    ""grille"": [],    ""hood"": [""less-aggressive""],    ""headlights"": [],    ""bumper"": [""wide air intakes"", ""less-aggressive look"", ""big diffuser""],    ""wheel"": [],    ""doors"": [""leather-trimmed""],    ""roof"": [],    ""diffusor"": [""big""],    ""spoiler"": [],    ""exhaust"": [""twin""]  }}```"
MCLAREN 620R,"To be built in an extremely limited edition of just 350 units, the McLaren 620R is essentially the road-going version of the McLaren 570S GT4 race car, the most winningest McLaren in every championship it has competed in since it was launched in 2017. After receiving tons of customer requests for an homologated version of the GT4 model for the road, McLaren saw fit to built a special edition sports car that not only harks back to the old days of ""win on Sunday, sell on Monday"" but also offers a nimbleness not found in the regular 570S. The 620R is derived directly from the 570S GT4 race car, with whom it shares a rather high level of commonality. Both cars have the same Monocell II carbon fiber chassis, thanks to which the 620R has a dry weight of just 1,282 kg. Adjustable aerodynamic elements, racing suspension and the calibration of the powertrain are also quasi-identical between the two. The main difference relies in the powertrain's output, which makes the 620R the most power car in McLaren's Sports Series lineup to date. With no racing regulations to follow, the M838TE 3.8-liter twin-turbocharged V8 delivers 620 horsepower and 620 Nm (457 lb-ft) of torque, enough for the RWD model to accelerate from 0 to 100 kph (62 mph) in just 2.9 seconds and from 0 to 200 kph (124 mph) in a staggering 8.1 seconds.",MCLAREN,"```json{  ""car-model"": ""McLaren 620R"",  ""year"": ""2020"",  ""size"": ""compact"",  ""overall-design"": [""nimble"", ""aerodynamic"", ""powerful"", ""sporty""],  ""design-elements"": {    ""windshield"": [""sleek""],    ""grille"": [],    ""hood"": [""carbon-fiber""],    ""headlights"": [],    ""bumper"": [],    ""wheel"": [""racing""],    ""doors"": [""lightweight""],    ""roof"": [""low-profile""],    ""diffusor"": [""adjustable""],    ""spoiler"": [""high-performance""],    ""exhaust"": [""twin-turbocharged""]  }}```"
MCLAREN Artura,"After the race toward clean vehicles, the race for hybrid-powered supercars made the petrolheads think again if that wasn't a better choice, such as the McLaren Artura showed it in 2021. The supercars world was changing. Porsche and Ferrari showed that very clear with the 918 and the SF90, but McLaren was not far behind. It waited and tried to create a supercar that could be driven as an electric vehicle for shorter distances. Thus, the McLaren tried to be as close as possible to a daily driver supercar. Its aerodynamic shape served both for reducing drag resistance and fuel consumption. At the front, the car showed the already established McLaren design with angled headlights and side-scoops in the front bumper. On the sides, a set of deeper air intakes provided more air to cool and feed the mid-engine V-6. Inside, the Artura showed another revolutionary cockpit design centered around the driver. McLaren moved the driving mode selector on the instrument cluster. Instead of a conventional center stack, the British carmaker mounted a portrait-mode touch-screen tilted toward the driver. As in any other McLaren, the sport bucket-seats featured high-bolstered sides to provide better support during high cornering. The Artura was completely new from the ground up, developed on the new McLaren Carbon Lightweight Architecture (MCLA). Thanks to its compact electrical system that reduced the need for longer cables, the 2021 Artura tipped the scale up to 1395 kg (3075 lbs) dry weight, a key factor for the British supercar. The total hybrid components had just 130 kg (286 lbs), including the battery pack. As a plug-in hybrid vehicle, the Artura could drive up to 19 miles (30 km) in electric mode.",MCLAREN,"```json{  ""car-model"": ""McLaren Artura"",  ""year"": ""2021"",  ""size"": ""compact"",  ""overall-design"": [""aerodynamic"", ""revolutionary"", ""sporty"", ""compact"", ""electric""],  ""design-elements"": {    ""windshield"": [""angled""],    ""grille"": [],    ""hood"": [""aerodynamic""],    ""headlights"": [""angled""],    ""bumper"": [""front"", ""deep air intakes""],    ""wheel"": [],    ""doors"": [""sporty""],    ""roof"": [""lightweight""],    ""diffusor"": [],    ""spoiler"": [],    ""exhaust"": [""hybrid""]  }}```"
MCLAREN 720S,"McLaren introduced an open-top version for the 720S in 2018, but It did it so that the car didn’t lose its overall performance. When McLaren’s engineering team developed the 720S bodywork, it had the vision of the roadster in mind. Thus, even if there were some reinforcements added, the car was just 49 kg (108 lbs) heavier than its fixed-roof sibling. The wide triangular-shaped headlights are splitter into two halves by the LED daytime running lights. The headlamps’ black background made the entire lamp looks part of the bodywork, like those installed on the 720S Coupe. Behind the cabin, the carmaker added a pair of safety arches concealed under two bulges, which resembled the “hunchbacks” from an F1 race car. When covered, the electrically operated roof came from behind and hid under the panel that sat above the engine compartment. It could have been opened and closed at speeds up to 30 mph (48 kph). Inside, the cabin offered the same spacious environment as the coupe. Moreover, McLaren installed the roof with an adjustable tinting glass. That allowed the occupants to increase or lower the interior luminosity according to their preferences. In front of the driver, the carmaker added the same tilt-down instrument cluster that showed only minimum info when it was lowered, for the race-track, or a complete TFT display that also displayed the rear-view camera when backing up. With a carbon-fiber monocoque and its experience in creating open-top race cars, the McLaren 720S was stiffer than many other closed-roof coupes on the market. Its performances were lowered, with the top down, to 202 mph (325 kph), while the top speed remained the same as on the coupe.",MCLAREN,"```json{  ""car-model"": ""720S"",  ""year"": ""2018"",  ""size"": ""spacious"",  ""overall-design"": [""triangular-shaped headlights"", ""sleek bodywork"", ""concealed safety arches"", ""electrically operated roof"", ""adjustable tinting glass""],  ""design-elements"": {    ""windshield"": [],    ""grille"": [],    ""hood"": [""sleek""],    ""headlights"": [""triangular-shaped"", ""black background""],    ""bumper"": [],    ""wheel"": [],    ""doors"": [],    ""roof"": [""electrically operated"", ""concealed safety arches"", ""adjustable tinting glass""],    ""diffusor"": [],    ""spoiler"": [],    ""exhaust"": []  }}```"
MCLAREN GT,"The 2019 McLaren GT was created to enter into a market dominated by front-engined GT cars. The McLaren GT had a mid-engine and rear-wheel-drive powertrain, featuring a 7-speed dual-clutch gearbox. At almost 4.7 meters (15.4 ft) in length, the McLaren GT is longer than any other vehicle made by the British car manufacturer. It sits on 20” light-alloy wheels in the front, which are paired with 21” for the rear wheels. Inside, the McLaren GT struggled to offer maximum comfort and luxury. The leather bucket seats could be covered in Nappa leather trim fitted as standard or could be upgraded to softgrain luxury leather or Alcantara, depending on vehicle specification. A 12.3” TFT screen was placed in front of the driver, as an instrument cluster. The information showed there could be chosen by the driver, offering almost full customization, but the central tachometer with a digital speedometer was always displayed. Usually, a GT doesn't have too much trunk space. The McLaren GT had two trunks: a bigger one in the back, on top of the engine, and another “frunk” in the front. The total space was 570 liters (20.1 cu-ft), which is more than most of the sedan trunks. The 4.0-liter V8 twin-turbo engine developed 620 hp, which were more than enough to transform the GT into a supercar, especially since the overall weight was only 1530 kg (3373 lbs).",MCLAREN,"```json{  ""car-model"": ""McLaren GT"",  ""year"": ""2019"",  ""size"": ""4.7 meters in length"",  ""overall-design"": [""mid-engine"", ""rear-wheel-drive"", ""luxurious"", ""sporty"", ""sleek""],  ""design-elements"": {    ""windshield"": [],    ""grille"": [],    ""hood"": [""long"", ""sleek""],    ""headlights"": [],    ""bumper"": [],    ""wheel"": [""20” light-alloy in front"", ""21” for the rear""],    ""doors"": [],    ""roof"": [],    ""diffusor"": [],    ""spoiler"": [],    ""exhaust"": []  }}```"
MCLAREN 750S,"After five years on the market, the 720S was replaced by the 750S in 2023, and while at first sight, they looked the same, the newer version boasted a 30% transformation in its parts compared with its predecessor. The British automaker was well-known for its high-performance products. In addition, its name was highly respected on the Formula 1 grid. Thus, it had all the attributes to start making a new vehicle able to compete against any other Italian or American supercars. With the 750S, it also created its most powerful vehicle made to that date. McLaren kept the overall shape of the 720S when it made the 750S but with a few noticeable differences. Thus, the front fascia sported narrower eye-socket intakes and a longer splitter adorned by side scoops. These were fully functional and channeled air onto the front rotors to cool the brakes. On the sides, the coupe kept a clean line for the bodywork, with waved shapes and an exhaust vent behind the front fenders. The car's curved greenhouse was pushed forward, and its sloped-down rear side featured a windscreen narrowed on the lower side and a set of vents needed to cool the engine. Finally, at the back, an active carbon-fiber wing added not just a touch of sportiness but also enhanced the downforce. Inside, the automaker installed all the features needed by a modern supercar, such as the TFT display inside the instrument cluster and a driver-oriented, portrait-mode touchscreen incorporated into the center stack. The carbon-fiber sports seats and the center console created a racy interior and could've been fitted with Alcantara and leather. Behind the cabin, McLaren installed a twin-turbo V8 mill that sent the power to the rear wheels via an automatic transmission.",MCLAREN,"```json{  ""car-model"": ""750S"",  ""year"": ""2023"",  ""size"": ""mid-size"",  ""overall-design"": [""high-performance"", ""clean lines"", ""sporty"", ""modern"", ""racy""],  ""design-elements"": {    ""windshield"": [""curved"", ""narrowed""],    ""grille"": [],    ""hood"": [""longer splitter""],    ""headlights"": [],    ""bumper"": [],    ""wheel"": [""rear wheels""],    ""doors"": [],    ""roof"": [""curved""],    ""diffusor"": [],    ""spoiler"": [""active carbon-fiber""],    ""exhaust"": [""vent behind front fenders""]  }}```"
MCLAREN Speedtail,"After creating the P1 and Senna, McLaren launched the third member of the Ultimate Series, the 2018 Speedtail, a hypercar that could beat a Bugatti in almost any performance results, apart from the top speed. When the British car manufacturer unveiled the Speedtail, the car revealed many connections with its grandfather, the iconic McLaren F1. And, just like its illustrious ancestor, the 2018 vehicle featured advanced technologies for its time, and it was the fastest McLaren ever built, although it only passed the top speed of the F1 by just 7 miles per hour (10 kph). But that was not the point. The engineering details made the Speedtail stand apart from any other direct competitors. It was neither a form-followed-purpose concept nor a purpose-followed-form one; it was a best of both worlds neither of its competitors could achieve. The fluid shapes of the bodywork were carefully crafted and tested in the wind tunnel to the maximum. Its short nose, teardrop-shaped greenhouse, and long rear end, hence the Speedtail name, created an incredibly low drag coefficient. At the front, the LED headlights resembled the same shape as those installed on the rest of the McLaren vehicles and formed, together with the side scoops, a C-shape. Underneath the bumper, the automaker placed a carbon-fiber splitter with a V-shaped element in the middle that channeled the air toward the side intakes. From its profile, the car featured a unique, distinctive look with its caps that covered the front wheels to lower the drag coefficient. Behind them, on the rear side of the fenders, the automaker placed extracting vents to release the pressure within the wheel wells. Furthermore, the ascending curved line above them created a ponton-like element that continued the vehicle's shape toward its back and also formed the upper sides of the rear fenders. Finally, at the rear, the extended rear overhang featured a functional diffuser and a set of fins and vents that also served to decrease the ground effect. Inside, customers could find a McLaren F1-style cockpit. The driver's seat was in the middle, and it was flanked, in recessed positions, by the passengers' bucket seats. Fronting the driver was a digital instrument cluster flanked on the left by the touchscreen for the HVAC and the infotainment unit's touch panel on the right. Above the driver were the start/stop, the gear selectors (PRND), and the power window buttons. It was a unique solution, unseen in other cars. The carefully crafted carbon fiber elements surrounded the cabin, and McLaren used this material for the seats, door cards, shift paddles, and steering wheel. But the most essential part of the 2018 Speedtail was under its engine cover, placed behind the cabin. There, McLaren installed a hybrid system powered by a twin-turbocharged 4.0-liter V8 and helped by an electric motor that produced 1050 PS (1036 hp) and could accelerate the car from a standstill to 300 kph (186 mph) in just 12.8 seconds. And that was faster than any other production car on the road.",MCLAREN,"```json{  ""car-model"": ""Speedtail"",  ""year"": ""2018"",  ""size"": ""large"",  ""overall-design"": [""fluid"", ""aerodynamic"", ""sleek"", ""innovative"", ""distinctive""],  ""design-elements"": {    ""windshield"": [""teardrop-shaped"", ""low-profile""],    ""grille"": [],    ""hood"": [""short""],    ""headlights"": [""LED"", ""C-shaped""],    ""bumper"": [""carbon-fiber"", ""V-shaped""],    ""wheel"": [""covered"", ""aerodynamic""],    ""doors"": [""McLaren F1-style""],    ""roof"": [""carbon-fiber""],    ""diffusor"": [""functional""],    ""spoiler"": [],    ""exhaust"": [""hybrid"", ""twin-turbocharged""]  }}```"
Mercedes-AMG GLA,"Ever since the third generation of the A-Class, Mercedes-Benz offered an AMG version, and that idea was carried over to the next models based on the same platform, such as the GLA. When the German automaker introduced the first GLA in 2013 (the X156), it proved that sometimes smaller is better. Then, the AMG version appeared, enhancing the lineup, and that was an undercover rally car fit for tackling gravel roads like there's no tomorrow. But then, the second generation of the GLA showed up in 2019, which was also granted with a Mercedes-AMG version refreshed in the Spring of 2023. On the 2024 model-year Mercedes-AMG GLA 35, the compact crossover sported a new Panamericana grille at the front instead of the one with a single, horizontal bar that crossed the grille from side to side on the rest of the GLA lineup. Its redesigned LED headlights were shared with its stablemates, but the lower bumper looked different with its horizontal slats inside the side scoops and the lower grille. From its profile, the car boasted its standard 19"" light-alloy wheels, while the automaker offered wheels of up to 21"" in diameter. Finally, at the back, the redesigned taillights featured LED technology and a different layout than its non-facelifted sibling. Inside, the five-seat GLA provided enough room for four adults or five on short jaunts. Its leather-wrapped cabin offered a sense of luxury enhanced further by the look of the illuminated turbine-like vents from the dashboard. But the upgrades didn't stop there and went a little bit more with the augmented reality MBAUX infotainment unit that boasted a 10.25"" inch display. For the drivetrain, Mercedes-AMG installed a turbocharged two-liter gasoline powerplant that sent its grunt in all corners via an AMG SPEEDSHIFT DCT 8G (eight-speed, dual-clutch) transmission. In addition, an integrated starter-generator that worked on the 48v architecture added 10 kW (13 hp) to the package.",Mercedes-AMG,"```json{  ""car-model"": ""GLA"",  ""year"": ""2024"",  ""size"": ""compact crossover"",  ""overall-design"": [""compact"", ""sporty"", ""luxurious""],  ""design-elements"": {    ""windshield"": [],    ""grille"": [""Panamericana"", ""refreshed""],    ""hood"": [],    ""headlights"": [""LED"", ""redesigned""],    ""bumper"": [""horizontal slats""],    ""wheel"": [""19\"" light-alloy"", ""up to 21\""""],    ""doors"": [],    ""roof"": [],    ""diffusor"": [],    ""spoiler"": [],    ""exhaust"": []  }}```"
Mercedes-AMG GT Coupe,"In the summer of 2023, Mercedes-AMG launched the second generation of one of the most famous products, the GT Coupe. The automaker introduced this nameplate in 2014 and kept it alive until 2023. But after nine years and around 18,900 units sold, the model needed a much-deserved retirement paving the way for the new generation, the C192. The 2024 GT Coupe shared its underpinnings with the 2024 Mercedes-Benz SL, but everything else was different. At the front, the car featured the Panamericana grille specific for vehicles built in Affalterbach. It was flanked by functional side scoops that channeled the air from the front of the vehicle to the front discs to cool them. In addition, they created an air curtain that lowered the drag resistance. On the flared front fenders, behind the wheels, the car manufacturer installed extracting vents. The hood boasted two power domes that reflected the V-shaped engine underneath it. Since Mercedes-AMG built the GT Coupe as a grand tourer, it carefully crafted the greenhouse with a raked windshield followed by an arched roofline with an option for a panoramic glass roof. It was extended to the rear by a sloped windscreen mounted on the tailgate. The car sported a wing at the back that added downforce to the vehicle at higher speeds. The rear fascia was adorned by a set of elliptic-shaped taillights connected by a light strip. Under the bumper, the GT Coupe featured a wide diffuser that incorporated four squared exhausts. Inside, Mercedes-AMG installed a 2+2 cabin layout suitable for four occupants. While the front sports seats provided enough comfort for long journeys, the rear ones were suitable just for persons up to 1.5 meters (4.9 feet) tall. Still, these were flat-folding, thus expanding the trunk space. The car manufacturer focused more on the driver's seat and installed a thick, three-spoke steering wheel filled with touch buttons and additional controls. Inside the instrument cluster, Mercedes-AMG placed a 3D display for main information about driving conditions. In addition, an 11.9"" touchscreen for the MBUX infotainment unit provided all the necessary features and controls for the sat-nav, telephone, and sound system. But, just like any other performance car produced by Mercedes-AMG, the most significant part was hidden under the vehicle's skin. The automaker offered the GT Coupe in two versions: the GT 55 4Matic+ and the GT 63 4Matic+. It was the first time in the model's history that it was available exclusively with an all-wheel-drive system. Both versions shared the same 4.0-liter V8 power plant, helped by a pair of turbochargers placed between the cylinder banks (hot-V). Like in any other AMG vehicle, these engines were hand built and signed by a single engineer. Mercedes-AMG was famous for its ""One Man, One Engine"" policy. Power went into all corners via a 9-speed (dual-clutch) gearbox fitted with a wet starting clutch to protect the drivetrain.",Mercedes-AMG,"```json{  ""car-model"": ""GT Coupe"",  ""year"": ""2024"",  ""size"": ""grand tourer"",  ""overall-design"": [""sleek"", ""athletic"", ""modern"", ""aggressive"", ""aerodynamic""],  ""design-elements"": {    ""windshield"": [""raked""],    ""grille"": [""Panamericana""],    ""hood"": [""power domes""],    ""headlights"": [""elliptic-shaped""],    ""bumper"": [""wide"", ""incorporated diffuser""],    ""wheel"": [""flared"", ""behind-wheel extracting vents""],    ""doors"": [""2+2 cabin layout""],    ""roof"": [""arched"", ""option for panoramic glass""],    ""diffusor"": [""wide"", ""four squared exhausts""],    ""spoiler"": [""wing at the back""],    ""exhaust"": [""four squared""]  }}```"
Mercedes-AMG GT 4-DOOR COUPE,"In the spring of 2023, Mercedes-AMG introduced a mild facelift for its four-door coupe GT 4Matic+, the versions powered by the inline-six biturbo powerplant. The model was launched in 2018 and already refreshed once in 2020. But that didn't stop the German automaker from adding a newer version of it just three years later after that. It didn't go too much with the updates, but still, it considered that some customers would ditch their already ""old-looking"" 2020 models and replace them with the newer version. In the 2023 model year, the four-door coupe made by Mercedes-AMG sported a new front fascia with wider side scoops that sported a jet-wing design. In addition, small black winglets channeled more air inside those air intakes to cool the brakes. These flanked the center lower air intake that resembled a wing from an aircraft. For those looking for more aggressive styling, the automaker offered the option for a V8 styling package, which made the inline-six versions of the four-door coupe look like its more powerful brother. Starting with the 2023 model year, the car offered a standard sliding glass roof and, on the center console, a wireless charger. But what was good in the cabin didn't change. The high-bolstered bucket seats at the front were both comfortable and looked awesome, while the rear bench seat was still profiled for two. Under the hood, the six-cylinder version of the four-door coupe made by Mercedes-AMG was available in two power versions. The base model was the named GT 43 4Matic+ and offered 367 PS (362 hp), while its more powerful sibling, named GT 53 4Matic+, boasted a total of 435 PS (429 hp). Both versions were helped by a 16 kW (21 PS) integrated starter-generator (ISG).",Mercedes-AMG,"```json{  ""car-model"": ""GT 4Matic+"",  ""year"": ""2023"",  ""size"": ""four-door coupe"",  ""overall-design"": [""mild facelift"", ""aggressive styling"", ""jet-wing design"", ""high-bolstered bucket seats"", ""sliding glass roof""],  ""design-elements"": {    ""windshield"": [],    ""grille"": [""new front fascia"", ""wider side scoops"", ""small black winglets""],    ""hood"": [],    ""headlights"": [],    ""bumper"": [""center lower air intake""],    ""wheel"": [],    ""doors"": [""wireless charger""],    ""roof"": [""sliding glass roof""],    ""diffusor"": [],    ""spoiler"": [],    ""exhaust"": []  }}```"
Mercedes-AMG GLE  Coupe,"Beginning in 2023, Mercedes-AMG unveiled a revised model of the GLE's fourth generation for the 2024 model year; however, the engine remained the same. While the inline-six turbocharged engine in the Mercedes-Benz sister was upgraded, the GLE 53's exterior and interior were updated to make it more appealing to customers. The GLE Coupe is now safer than it was previously, thanks to specific features the automaker installed at the same time. The German carmaker kept its commitment to keep the GLE Coupe's appearance modern while still making it simple to identify as a genuine AMG badge wearer. Thus, the Panamericana-grille with its vertical chromed slats was displayed on the front fascia. The multibeam-LED headlights, which had four light blocks, were one of the most obvious differences from its predecessor. A bigger lower lip spoiler was also added to the reworked lower bumper. The GLE 53 also had brand-new LED taillights with horizontal lighting at the back. The large SUV had four oval pipes flanking the rear diffuser at the back. The carmaker replaced the outdated dual-screen on the dashboard with an improved model inside. The same piece of glass served as the cover for both displays—those for the infotainment system and the instrument panel—providing a cohesive appearance. However, only the latter had touchscreen capabilities. As was to be expected, AMG provided brand-specific features for the MBAUX system that provided more details about the settings and performance of the vehicle. The company fitted a three-liter, inline-six engine under the hood that produced 435 horsepower (429 PS). Power was distributed to all four corners via the nine-speed automatic transmission.",Mercedes-AMG,"```json{  ""car-model"": ""GLE"",  ""year"": ""2024"",  ""size"": ""large"",  ""overall-design"": [""modern"", ""sleek"", ""sporty"", ""luxurious""],  ""design-elements"": {    ""windshield"": [],    ""grille"": [""Panamericana"", ""vertical"", ""chromed""],    ""hood"": [""reworked""],    ""headlights"": [""multibeam-LED"", ""four light blocks""],    ""bumper"": [""reworked"", ""bigger lower lip spoiler""],    ""wheel"": [],    ""doors"": [],    ""roof"": [],    ""diffusor"": [""rear"", ""flanking the rear""],    ""spoiler"": [],    ""exhaust"": [""four oval pipes""],    ""interior"": [""improved dual-screen dashboard"", ""cohesive appearance"", ""touchscreen capabilities"", ""luxurious"", ""brand-specific features"", ""MBAUX system""]  }}```"
Mercedes-AMG GLS- Class,"Mercedes-AMG introduced a facelifted version of the GLS 63 in the spring of 2023, along with the rest of the GLS family produced by Mercedes-Benz. While some people could live just fine with the power provided by the regular GLS, some others asked for more. Thus, the AMG produced the GLS 63 that was not just big and luxurious, but it could also hit the 62 mph mark (100 kph) from standing still in less time than other supercars built just a decade before. And that wasn't easy, considering the vehicle's size and weight. Boasting a broader grille at the front adorned by the specific Panamericana styling with vertical slats, the GLS 63 had an aggressive look. Its headlights, similar to those on the rest of the range, boasted two boomerang-shaped daytime running lights and two LED blocks inside the headlamps. The massive SUV came fitted as standard with 21"" light-alloy wheels, with an option for a set of 23"" ones. At the back, the automaker installed new 3D taillights, and at the lower part, a bumper with a diffuser flanked by two pairs of quad-exhaust trims. The actual pipes were round and placed behind the bumper. Inside, the GLS 63 featured an updated dashboard with a wide glass panel that covered a new digital instrument panel and the MBUX infotainment's system touchscreen. The latter was placed atop the center stack. Since it was a performance-oriented vehicle, it featured a pair of bolstered front seats, while the rest of the five seats (three on the middle row and two jump seats in the trunk area) were regular. But all of them were wrapped in artificial leather. Along with the upgraded version, AMG ditched the former drivetrain used on the 2016 model-year and brought a 4.0-liter biturbo V8 mated with a nine-speed automatic gearbox.",Mercedes-AMG,"```json{  ""car-model"": ""GLS 63"",  ""year"": ""2023"",  ""size"": ""big, massive, luxurious"",  ""overall-design"": [""aggressive"", ""luxurious"", ""performance-oriented""],  ""design-elements"": {    ""windshield"": [],    ""grille"": [""broader"", ""Panamericana styling"", ""vertical slats""],    ""hood"": [],    ""headlights"": [""boomerang-shaped"", ""LED blocks""],    ""bumper"": [""diffuser"", ""quad-exhaust trims""],    ""wheel"": [""21\"" light-alloy"", ""23\"" optional""],    ""doors"": [],    ""roof"": [],    ""diffusor"": [],    ""spoiler"": [],    ""exhaust"": [""round"", ""quad"", ""behind the bumper""]  }}```"
